Test visit flag update. Current non-zero entries : 0
Test visit flag 0/143th batch | time : 93.48 | Nonzero : 1131817
1st sample | row<col : 1038, row>=col : 2251 | sample size : [128, 3160]
2nd sample | row<col : 34999, row>=col : 35426 | sample size : [2793, 61570]
1st sample | row<col : 1299, row>=col : 1377 | sample size : [128, 2793]
2nd sample | row<col : 30517, row>=col : 31561 | sample size : [2539, 56327]
1st sample | row<col : 1188, row>=col : 1255 | sample size : [128, 2539]
2nd sample | row<col : 31788, row>=col : 36612 | sample size : [2751, 61228]
1st sample | row<col : 1420, row>=col : 1200 | sample size : [128, 2751]
2nd sample | row<col : 30671, row>=col : 31536 | sample size : [2547, 56154]
1st sample | row<col : 1049, row>=col : 1320 | sample size : [128, 2547]
2nd sample | row<col : 34998, row>=col : 32928 | sample size : [2737, 62752]
1st sample | row<col : 1217, row>=col : 1314 | sample size : [128, 2737]
2nd sample | row<col : 40096, row>=col : 39297 | sample size : [3195, 73884]
1st sample | row<col : 1528, row>=col : 1419 | sample size : [128, 3195]
2nd sample | row<col : 36592, row>=col : 32918 | sample size : [2827, 61618]
1st sample | row<col : 1297, row>=col : 1339 | sample size : [128, 2827]
2nd sample | row<col : 38758, row>=col : 40087 | sample size : [3229, 74431]
2nd sample | row<col : 39181, row>=col : 42893 | sample size : [3299, 75173]
1st sample | row<col : 1727, row>=col : 1356 | sample size : [128, 3299]
1st sample | row<col : 1534, row>=col : 1457 | sample size : [128, 3229]
2nd sample | row<col : 43623, row>=col : 39340 | sample size : [3282, 73286]
1st sample | row<col : 1394, row>=col : 1802 | sample size : [128, 3282]
bi-full_DEBUG | time : 62.79 | batch : 10/332342
1th result saving... 62.787353515625
shape of reduced embedding_list : torch.Size([1280, 153])2nd sample | row<col : 30784, row>=col : 38313 | sample size : [2758, 62751]
1st sample | row<col : 1428, row>=col : 1193 | sample size : [128, 2758]
2nd sample | row<col : 37012, row>=col : 39707 | sample size : [3057, 70112]
1st sample | row<col : 1463, row>=col : 1350 | sample size : [128, 3057]
2nd sample | row<col : 33633, row>=col : 34740 | sample size : [2823, 59508]
1st sample | row<col : 1367, row>=col : 1270 | sample size : [128, 2823]
2nd sample | row<col : 36803, row>=col : 37745 | sample size : [3047, 69114]
1st sample | row<col : 1448, row>=col : 1431 | sample size : [128, 3047]
2nd sample | row<col : 37309, row>=col : 39365 | sample size : [3048, 70403]
1st sample | row<col : 1582, row>=col : 1357 | sample size : [128, 3048]
2nd sample | row<col : 35995, row>=col : 36742 | sample size : [2913, 67514]
1st sample | row<col : 1423, row>=col : 1321 | sample size : [128, 2913]
2nd sample | row<col : 35249, row>=col : 36792 | sample size : [3002, 67110]
1st sample | row<col : 1435, row>=col : 1405 | sample size : [128, 3002]
2nd sample | row<col : 44989, row>=col : 43327 | sample size : [3450, 77601]
1st sample | row<col : 1669, row>=col : 1685 | sample size : [128, 3450]
2nd sample | row<col : 35252, row>=col : 45099 | sample size : [3194, 72242]
1st sample | row<col : 1858, row>=col : 1179 | sample size : [128, 3194]
2nd sample | row<col : 41253, row>=col : 46528 | sample size : [3483, 77197]
1st sample | row<col : 1853, row>=col : 1497 | sample size : [128, 3483]
2nd sample | row<col : 29879, row>=col : 31368 | sample size : [2544, 59146]
1st sample | row<col : 1300, row>=col : 1040 | sample size : [128, 2544]
bi-full_DEBUG | time : 71.01 | batch : 20/332342
2th result saving... 71.01012396812439
shape of reduced embedding_list : torch.Size([1280, 153])2nd sample | row<col : 36961, row>=col : 44742 | sample size : [3254, 71473]
1st sample | row<col : 1757, row>=col : 1334 | sample size : [128, 3254]
2nd sample | row<col : 38409, row>=col : 35334 | sample size : [2936, 64312]
1st sample | row<col : 1292, row>=col : 1534 | sample size : [128, 2936]
2nd sample | row<col : 38216, row>=col : 38209 | sample size : [3009, 71758]
1st sample | row<col : 1404, row>=col : 1437 | sample size : [128, 3009]
2nd sample | row<col : 31718, row>=col : 33100 | sample size : [2601, 60809]
1st sample | row<col : 1187, row>=col : 1272 | sample size : [128, 2601]
2nd sample | row<col : 35452, row>=col : 42516 | sample size : [3114, 71657]
1st sample | row<col : 1791, row>=col : 1129 | sample size : [128, 3114]
2nd sample | row<col : 30869, row>=col : 36709 | sample size : [2742, 63390]
1st sample | row<col : 1417, row>=col : 1124 | sample size : [128, 2742]
2nd sample | row<col : 38786, row>=col : 42016 | sample size : [3223, 70838]
1st sample | row<col : 1621, row>=col : 1371 | sample size : [128, 3223]
2nd sample | row<col : 37097, row>=col : 48574 | sample size : [3428, 75136]
1st sample | row<col : 1912, row>=col : 1329 | sample size : [128, 3428]
